STATE|STATEFP|COUNTYFP|COUNTYNAME|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT
IL|17|001|Adams County|00191|02804080|Adams CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|05729|02804081|Beverly CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|06565|02804082|Bloomfield CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|10006|02804083|Burton CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|10877|02397542|Camp Point village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|14767|02397640|Clayton village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|15261|02398591|Coatsburg village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|15846|02398605|Columbus village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|25245|02804084|Fall Creek CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|27377|02804085|Fowler CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|30159|02398172|Golden village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|40052|02804086|Kingston CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|42080|02398368|La Prairie village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|43133|02398433|Liberty village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|43445|02398438|Lima village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|44719|02398475|Loraine village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|46734|02804087|Marcelline CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|48307|02399313|Mendon village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|48684|02804088|Meyer CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|57342|02804089|Paloma CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|58265|02399639|Payson village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|60339|02399685|Plainville village|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|62367|02396301|Quincy city|INCORPORATED PLACE|C1|A
IL|17|001|Adams County|63537|02804090|Richfield CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|001|Adams County|77044|02400033|Ursa village|INCORPORATED PLACE|C1|A
IL|17|003|Alexander County|10383|02393491|Cairo city|INCORPORATED PLACE|C1|A
IL|17|003|Alexander County|21605|02398772|East Cape Girardeau village|INCORPORATED PLACE|C1|A
IL|17|003|Alexander County|45525|02399286|McClure village|INCORPORATED PLACE|C1|A
IL|17|003|Alexander County|55847|02583440|Olive Branch CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|003|Alexander County|74457|02399951|Tamms village|INCORPORATED PLACE|C1|A
IL|17|003|Alexander County|74873|02399967|Thebes village|INCORPORATED PLACE|C1|A
IL|17|003|Alexander County|76875|02806575|Unity CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|005|Bond County|20318|02398737|Donnellson village|INCORPORATED PLACE|C1|A
IL|17|005|Bond County|31589|02394995|Greenville city|INCORPORATED PLACE|C1|A
IL|17|005|Bond County|39753|02398342|Keyesport village|INCORPORATED PLACE|C1|A
IL|17|005|Bond County|51284|02399424|Mulberry Grove village|INCORPORATED PLACE|C1|A
IL|17|005|Bond County|55717|02399568|Old Ripley village|INCORPORATED PLACE|C1|A
IL|17|005|Bond County|57498|02399617|Panama village|INCORPORATED PLACE|C1|A
IL|17|005|Bond County|59709|02399670|Pierron village|INCORPORATED PLACE|C1|A
IL|17|005|Bond County|60872|02398991|Pocahontas village|INCORPORATED PLACE|C1|A
IL|17|005|Bond County|70213|02399829|Smithboro village|INCORPORATED PLACE|C1|A
IL|17|005|Bond County|70525|02399839|Sorento village|INCORPORATED PLACE|C1|A
IL|17|007|Boone County|02050|02804650|Argyle CDP|CENSUS DESIGNATED PLACE|U1|S
IL|17|007|Boone County|05092|02394127|Belvidere city|INCORPORATED PLACE|C1|A
IL|17|007|Boone County|10422|02397527|Caledonia village|INCORPORATED PLACE|C1|A
