PRECINCT,LOCATION,ADDRESS
BELLEVILLE 1,Apostolic Church,"1648 La Salle St. Belleville, IL 62221"
BELLEVILLE 2,Apostolic Church,"1648 La Salle St. Belleville, IL 62221"
BELLEVILLE 3,Eastview Baptist Church,"211 Sherman St Belleville, IL 62221"
BELLEVILLE 4,Charles E Nichols Center,"515 E D St Belleville, IL 62220"
BELLEVILLE 5,Orchards Restaurant,"1499 Golf Course Dr Belleville, IL 62220"
BELLEVILLE 6,Franklin School (GYM),"301 N 2nd St Belleville, IL 62220"
BELLEVILLE 7,Henry Raab School,"400 S. 13th St. Belleville, IL 62220"
BELLEVILLE 8,Union School,"20 S 27th St Belleville, IL 62226"
BELLEVILLE 9,Abraham Lincoln School (New Gym),"820 Royal Heights Rd Belleville, IL 62223"
BELLEVILLE 10,CAVE-Center for Acedemic & Voc. Excellence,"7645 Magna Dr. Belleville, IL 62223"
BELLEVILLE 11,Northwest Fire Station #1,"1513 N. Belt West Belleville, IL 62226"
BELLEVILLE 12,Abraham Lincoln School (New Gym),"820 Royal Heights Rd Belleville, IL 62223"
BELLEVILLE 13,St Henrys Grade School (Gym),"5301 W Main St Belleville, IL 62223"
BELLEVILLE 14,St Henrys Grade School (Gym),"5301 W Main St Belleville, IL 62223"
BELLEVILLE 15,Signal Hill Sch (Old Gym),"40 Signal Hill Pl Belleville, IL 62223"
BELLEVILLE 16,Westhaven School,"118 Westhaven School Rd Belleville, IL 62220"
BELLEVILLE 17,Roosevelt School (Gym),"700 W. Cleveland Ave. Belleville, IL 62220"
BELLEVILLE 18,CAVE-Center for Acedemic & Voc. Excellence,"7645 Magna Dr. Belleville, IL 62223"
BELLEVILLE 19,Union School,"20 S 27th St Belleville, IL 62226"
BELLEVILLE 20,Plumbers And Pipefitters Local #101,"8 Premier Drive Belleville, IL 62220"
BELLEVILLE 21,Washington School,"400 S Charles St Belleville, IL 62220"
BELLEVILLE 22,Westhaven School,"118 Westhaven School Rd Belleville, IL 62220"
